Alert_Name,Alert_Status,Alert_Risk,Alert_Type,AVG,OWASP SCORE,Detectability,Exploitability,Technical Impact,Risk Severity,Mitigation,~Time,Health,S1,S2,S3,S4,S5,S6
Directory Browsing,release,Medium,Active,2,6,3,3,3,45,2,5,H1,,1,1,,,
Private IP Disclosure,release,Low,Passive,2,6,3,3,3,45,3,5,H2,1,1,,,,
Session ID in URL Rewrite,release,Medium,Passive,2,6,2,3,5,54,3,10,H1,,,,1,1,
Session ID in URL Rewrite,release,Medium,Passive,2,6,2,3,5,54,3,10,H1,,,,1,1,
Session ID in URL Rewrite,release,Medium,Passive,2,6,2,3,5,54,3,10,H1,,,,1,1,
Referer Exposes Session ID,release,Medium,Passive,2,6,2,3,3,30,3,10,H1,,,,1,1,
Path Traversal,release,High,Active,2,6,3,2,3,30,2,10,H1,,1,,,1,
Path Traversal,release,High,Active,2,6,3,2,3,30,2,10,H1,,1,,,1,
Path Traversal,release,High,Active,2,6,3,2,3,30,2,10,H1,,1,,,1,
Path Traversal,release,High,Active,2,6,3,2,3,30,2,10,H1,,1,,,1,
Path Traversal,release,High,Active,2,6,3,2,3,30,2,10,H1,,1,,,1,
Path Traversal,release,High,Active,2,6,3,2,3,30,2,10,H1,,1,,,1,
Remote File Inclusion,release,High,Active,3,9,2,2,5,36,2,15,H1,,1,,1,1,
Source Code Disclosure - Git ,beta,High,Active,3,6,3,3,5,81,3,10,H1,1,1,1,1,1,
Source Code Disclosure - SVN,beta,Medium,Active,3,6,3,3,5,81,3,10,H1,1,1,1,1,1,
Source Code Disclosure - File Inclusion,beta,High,Active,3,6,3,3,5,81,2,15,H1,1,1,1,1,1,
Vulnerable JS Library,release,Medium,Passive,2,4,3,3,5,81,3,20,H3,,1,,1,,
In Page Banner Information Leak,beta,Low,Passive,3,6,3,3,1,9,3,10,H2,,,,,,
Cookie No HttpOnly Flag,release,Low,Passive,3,6,3,3,4,63,3,5,H2,,,,1,1,
Cookie Without Secure Flag,release,Low,Passive,3,6,3,3,4,63,3,5,H2,,,,1,1,
Re-examine Cache-control Directives,release,Informational,Passive,2,6,2,3,2,18,3,5,H2,,,,,,1
Web Browser XSS Protection Not Enabled,deprecated,deprecated,Passive,#N/A,#N/A,,,,0,,5,,,,,,,
Cross-Domain JavaScript Source File Inclusion,release,Low,Passive,2,6,2,2,5,36,2,15,H1,,1,,,,
Content-Type Header Missing,release,Informational,Passive,3,6,3,3,2,27,3,10,H2,,,,,,
Anti-clickjacking Header,release,Medium,Passive,3,6,3,3,3,45,3,10,H2,,1,,,1,
Missing Anti-clickjacking Header,release,Medium,Passive,3,6,3,3,3,45,3,10,H2,,1,,,1,
Multiple X-Frame-Options Header Entries,release,Medium,Passive,3,6,3,3,3,45,3,10,H2,,1,,,1,
X-Frame-Options Defined via META (Non-compliant with Spec),release,Medium,Passive,3,6,3,3,3,45,3,10,H2,,1,,,1,
X-Frame-Options Setting Malformed,release,Medium,Passive,3,6,3,3,3,45,3,10,H2,,1,,,1,
X-Content-Type-Options Header Missing,release,Low,Passive,3,6,3,3,3,45,3,10,H2,,1,,,1,
Information Disclosure - Debug Error Messages,release,Low,Passive,2,6,3,3,2,27,3,5,H1,,,,,,
Information Disclosure - Sensitive Information in URL,release,Informational,Passive,2,6,3,3,2,27,3,5,H1,,,,,,
Information Disclosure - Sensitive Information in HTTP Referrer Header,release,Informational,Passive,2,6,3,3,2,27,3,5,H1,,,,,,
HTTP Parameter Override,beta,Medium,Passive,3,6,3,3,2,27,2,10,H1,1,1,,,,
Information Disclosure - Suspicious Comments,release,Informational,Passive,2,6,3,3,1,9,2,5,H1,,,,,,
Open Redirect,release,High,Passive,3,9,2,2,3,20,3,20,H1,1,1,,,,
Cookie Poisoning,release,High,Passive,3,9,1,1,3,5,1,20,H4,,,,1,1,
User Controllable Charset,release,High,Passive,3,9,2,2,2,12,2,15,H4,,,,,1,
User Controllable HTML Element Attribute (Potential XSS),release,High,Passive,3,9,2,1,3,10,2,15,H4,,,,,1,
Viewstate,release,Medium,Passive,3,6,2,2,2,12,2,10,H1,,,,,1,
Potential IP Addresses Found in the Viewstate,release,Medium,Passive,3,6,3,3,5,81,2,10,H2,,1,,,,
Emails Found in the Viewstate,release,Medium,Passive,3,6,3,3,2,27,2,10,H2,,,,1,,
Old Asp.Net Version in Use,release,Low,Passive,3,6,3,3,3,45,3,10,H3,,1,,1,,
Viewstate without MAC Signature (Unsure),release,High,Passive,3,6,2,3,2,18,2,5,H2,,,,,1,
Viewstate without MAC Signature (Sure),release,High,Passive,3,6,2,3,2,18,2,5,H2,,,,,1,
Split Viewstate in Use,release,Informational,Passive,3,6,2,3,2,18,2,5,H2,,,,,1,
Directory Browsing,release,Medium,Passive,3,6,3,3,3,45,3,10,H1,,1,1,,,
Heartbleed OpenSSL Vulnerability (Indicative),release,Low,Passive,2,4,1,2,5,18,2,10,H4,,,,1,1,
Strict-Transport-Security Header,release,Medium,Passive,3,6,3,3,4,63,3,5,H2,,,,1,1,
HTTP Server Response Header,release,Low,Passive,3,6,3,3,1,9,3,5,H2,,,,,,
Server Leaks its Webserver Application via 'Server' HTTP Response Header Field,release,Informational,Passive,3,6,2,3,2,18,3,10,H2,,,,,,
Server Leaks Version Information via 'Server' HTTP Response Header Field,release,Low,Passive,3,6,2,3,2,18,3,10,H2,,,,,,
Server Leaks Information via 'X-Powered-By' HTTP Response Header Field(s),release,Low,Passive,2,6,2,3,2,18,3,10,H2,,,,,,
Content Security Policy (CSP) Header Not Set,release,Medium,Passive,3,6,2,2,2,12,3,10,H2,,,,,1,
Content Security Policy (CSP) Header Not Set,release,Medium,Passive,3,6,2,2,2,12,3,10,H2,,,,,1,
Obsolete Content Security Policy (CSP) Header Found,release,Informational,Passive,3,6,2,2,2,12,3,10,H2,,,,,1,
Content Security Policy (CSP) Report-Only Header Found,release,Informational,Passive,3,6,2,2,2,12,3,10,H2,,,,,1,
X-Backend-Server Header Information Leak,release,High,Passive,3,6,1,2,4,14,3,10,H2,1,1,,,,
Secure Pages Include Mixed Content,release,High,Passive,3,6,3,2,2,18,3,15,H1,,,,,1,
HTTP to HTTPS Insecure Transition in Form Post,release,High,Passive,3,6,2,2,2,12,3,10,H1,,,,,1,
HTTPS to HTTP Insecure Transition in Form Post,release,High,Passive,3,6,2,2,2,12,3,10,H1,,,,,1,
User Controllable JavaScript Event (XSS),release,High,Passive,3,9,2,2,3,20,1,20,H4,,,,,1,
Big Redirect Detected (Potential Sensitive Information Leak),release,High,Passive,2,6,2,2,5,36,2,15,H1,,1,,,,
Source Code Disclosure - /WEB-INF folder,release,High,Active,3,6,3,3,5,81,2,10,H1,1,1,1,1,1,
Insecure Component,deprecated,deprecated,Passive,#N/A,#N/A,,,,0,,,,,,,,,
HTTPS Content Available via HTTP,beta,Low,Active,3,6,2,3,2,18,2,10,H1,,,,,1,
Remote Code Execution - Shell Shock,beta,High,Active,2,4,1,2,5,18,2,20,H1,1,1,1,1,1,
Content Cacheability,beta,Informational,Passive,3,6,3,3,2,27,2,10,H2,,,,,,
Non-Storable Content,beta,Informational,Passive,3,6,3,3,1,9,2,10,H2,,,,,,
Storable but Non-Cacheable Content,beta,Informational,Passive,3,6,3,3,1,9,3,5,H2,,,,,,
Storable and Cacheable Content,beta,Informational,Passive,3,6,3,3,1,9,3,5,H2,,,,,,
Retrieved from Cache,release,Informational,Passive,3,6,3,3,1,9,3,5,H2,,,,,,
Relative Path Confusion,beta,Medium,Active,3,6,2,2,3,20,2,10,H2,,1,,,,
X-ChromeLogger-Data (XCOLD) Header Information Leak,release,Medium,Passive,2,6,2,2,2,12,2,10,H2,,,,,1,
Apache Range Header DoS (CVE-2011-3192),deprecated,Medium,Active,2,6,2,2,5,36,2,10,H2,1,1,,,,
Cookie without SameSite Attribute,release,Low,Passive,2,6,2,2,3,20,2,10,H4,,,,1,1,
CSP,release,Medium,Passive,3,6,3,2,3,30,3,5,H2,,1,,1,1,
CSP: X-Content-Security-Policy,release,Low,Passive,3,6,3,2,3,30,3,10,H2,,1,,1,1,
CSP: X-WebKit-CSP,release,Low,Passive,3,6,3,2,3,30,3,10,H2,,1,,1,1,
CSP: Notices,release,Low,Passive,3,6,3,2,2,18,3,10,H2,,1,,1,1,
CSP: Wildcard Directive,release,Medium,Passive,3,6,3,2,3,30,2,5,H2,,1,,1,1,
CSP: script-src unsafe-inline,release,Medium,Passive,3,6,3,2,4,42,2,10,H2,,1,,1,1,
CSP: style-src unsafe-inline,release,Medium,Passive,3,6,3,2,4,42,2,10,H2,,1,,1,1,
CSP: script-src unsafe-hashes,release,Medium,Passive,3,6,3,2,4,42,2,10,H2,,1,,1,1,
CSP: style-src unsafe-hashes,release,Medium,Passive,3,6,3,2,4,42,2,10,H2,,1,,1,1,
CSP: Malformed Policy (Non-ASCII),release,Medium,Passive,3,6,3,2,4,42,3,5,H2,,1,,1,1,
CSP: script-src unsafe-eval,release,Medium,Passive,3,6,3,2,4,42,2,10,H2,,1,,1,1,
CSP: Meta Policy Invalid Directive,release,Medium,Passive,3,6,3,2,3,30,3,5,H2,,1,,1,1,
CSP: Header & Meta,release,Informational,Passive,3,6,3,2,2,18,3,5,H2,,1,,1,1,
X-Debug-Token Information Leak,release,Low,Passive,2,6,3,2,2,18,2,10,H2,,,,,1,
Username Hash Found,release,Informational,Passive,2,6,2,3,2,18,2,10,H4,,,,1,1,
GET for POST,release,Informational,Active,3,6,2,3,1,6,3,5,H1,,,,,,
X-AspNet-Version Response Header,release,Low,Passive,3,6,3,3,1,9,2,10,H2,,,,,,
PII Disclosure,release,High,Passive,2,6,1,3,2,9,2,20,H4,,,,,,1
Permissions Policy Header Not Set,beta,Low,Passive,2,6,2,3,3,30,3,10,H2,,,,1,1,
Permissions Policy Header Not Set,beta,Low,Passive,2,6,2,3,3,30,3,10,H2,,,,1,1,
Deprecated Feature Policy Header Set,beta,Low,Passive,2,6,2,3,3,30,3,15,H2,,,,1,1,
Use of SAML,alpha,Informational,Passive,#N/A,#N/A,3,3,1,9,3,5,H2,,,,,,
Base64 Disclosure,alpha,Low,Passive,2,6,2,2,1,4,3,5,H1,,,,,,
ASP.NET ViewState Disclosure,alpha,Informational,Passive,2,6,3,3,1,9,3,5,H2,,,,,,
ASP.NET ViewState Integrity,alpha,High,Passive,2,6,3,3,2,27,2,10,H2,,,,,,
Base64 Disclosure,alpha,Informational,Passive,2,6,2,2,1,4,3,5,H1,,,,,,
